Circle_Name,Dist_Name,Transaction_Count
BARIPADA,BALESHWAR,4
BARIPADA,BHADRAK,1
BERHAMPUR,GANJAM,12
CUTTACK,CUTTACK,4
JAJPUR ROAD,JAGATSINGHPUR,9
JODA,KEONJHAR,24
KEONJHAR,KEONJHAR,2
KOIRA,SUNDERGARH,1
ROURKELA,SUNDERGARH,1
SAMBALPUR,SAMBALPUR,2
TALCHER,ANGUL,2
